dt,Celsius,State,AverageTemperature
19710102,8.366,Maine,47.0588
19710102,2.266,Maryland,36.0788
19710102,3.602,Massachusetts,38.4836
19710102,6.084,Michigan,42.9512
19710102,10.218,Minnesota,50.3924
19710102,8.745,Mississippi,47.741
19710102,0.089,Missouri,32.1602
19710102,5.088,Montana,41.1584
19710102,3.978,Nebraska,39.1604
19710102,1.849,Nevada,35.3282
19710102,6.407,New Hampshire,43.5326
19710102,0.147,New Jersey,32.2646
19710102,3.001,New Mexico,37.4018
19710102,4.409,New York,39.9362
19710102,5.629,North Carolina,42.1322
19710102,10.564,North Dakota,51.0152
19710102,1.054,Ohio,33.8972
19710102,4.215,Oklahoma,39.587
19710102,1.925,Oregon,35.465
19710102,1.849,Pennsylvania,35.3282
19710102,1.445,Rhode Island,34.601
19710102,8.098,South Carolina,46.5764
19710102,7.365,South Dakota,45.257
19710102,3.596,Tennessee,38.4728
19710102,10.098,Texas,50.1764
19710102,0.793,Utah,33.4274
19710102,6.606,Vermont,43.8908
19710102,3.009,Virginia,37.4162
19710102,1.115,Washington,34.007
19710102,0.639,West Virginia,33.1502
19710102,8.321,Wisconsin,46.9778
19710102,5.177,Wyoming,41.3186
19710103,10.414,Alabama,50.7452
19710103,18.743,Alaska,65.7374
19710103,10.677,Arizona,51.2186
19710103,9.107,Arkansas,48.3926
19710103,9.351,California,48.8318
19710103,0.887,Colorado,33.5966
19710103,1.539,Connecticut,34.7702
19710103,4.677,Delaware,40.4186
19710103,4.647,District Of Columbia,40.3646
19710103,16.71,Florida,62.078
19710103,10.903,Georgia ,51.6254
19710103,20.959,Hawaii,69.7262
19710103,1.56,Idaho,34.808
19710103,3.138,Illinois,37.6484
19710103,2.892,Indiana,37.2056
19710103,0.525,Iowa,32.945
19710103,5.526,Kansas,41.9468
19710103,5.494,Kentucky,41.8892
19710103,13.736,Louisiana,56.7248
19710103,3.38,Maine,38.084
19710103,4.875,Maryland,40.775
19710103,0.021,Massachusetts,32.0378
19710103,2.971,Michigan,37.3478
19710103,4.021,Minnesota,39.2378
19710103,11.258,Mississippi,52.2644
19710103,5.403,Missouri,41.7254
19710103,1.907,Montana,35.4326
19710103,1.571,Nebraska,34.8278
19710103,3.967,Nevada,39.1406
19710103,2.571,New Hampshire,36.6278
19710103,3.285,New Jersey,37.913
19710103,7.549,New Mexico,45.5882
19710103,1.847,New York,35.3246
19710103,7.874,North Carolina,46.1732
19710103,3.632,North Dakota,38.5376
19710103,2.015,Ohio,35.627
19710103,9.636,Oklahoma,49.3448
19710103,2.051,Oregon,35.6918
19710103,0.96,Pennsylvania,33.728
19710103,1.568,Rhode Island,34.8224
19710103,10.095,South Carolina,50.171
19710103,0.68,South Dakota,33.224
19710103,6.745,Tennessee,44.141
19710103,14.125,Texas,57.425
19710103,2.391,Utah,36.3038
19710103,3.379,Vermont,38.0822
19710103,5.741,Virginia,42.3338
